frame,points,total,diff
589,32,34,2
590,31,34,3
591,31,34,3
592,30,34,4
593,30,34,4
594,32,34,2
595,33,34,1
596,0,34,34
597,0,15,15
598,0,7,7
599,0,4,4
600,1,8,7
601,39,44,5
602,38,44,6
603,38,44,6
604,39,44,5
605,38,44,6
606,39,44,5
607,39,44,5
608,41,44,3
609,38,44,6
610,0,44,44
611,0,27,27
612,0,6,6
613,0,7,7
614,34,36,2
615,35,36,1
616,35,36,1
617,34,36,2
618,34,36,2
619,30,36,6
620,30,36,6
621,32,36,4
622,30,36,6
623,32,36,4
624,0,36,36
625,0,9,9
626,0,3,3
627,0,6,6
628,14,25,11
629,14,25,11
630,14,25,11
631,14,25,11
632,14,25,11
633,14,25,11
634,14,25,11
635,14,25,11
636,16,25,9
637,18,25,7
638,0,25,25
639,0,15,15
640,0,6,6
641,0,3,3
642,5,14,9
643,45,45,0
644,45,45,0
645,43,45,2
646,40,45,5
647,37,45,8
648,35,45,10
649,31,45,14
650,34,45,11
651,37,45,8
652,0,45,45
653,0,11,11
654,0,3,3
655,0,6,6
656,12,23,11
657,12,23,11
658,12,23,11
659,12,23,11
660,12,23,11
661,14,23,9
662,15,23,8
663,15,23,8
664,15,23,8
665,17,23,6
666,0,23,23
667,0,8,8
668,0,4,4
669,0,7,7
670,40,41,1
671,40,41,1
672,39,41,2
673,39,41,2
674,38,41,3
675,35,41,6
676,37,41,4
677,39,41,2
678,39,41,2
679,1,41,40
680,0,28,28
681,0,7,7
682,0,5,5
683,1,9,8
684,51,51,0
685,51,51,0
686,51,51,0
687,51,51,0
688,51,51,0
689,51,51,0
690,48,51,3
691,23,51,28
692,0,51,51
693,0,8,8
694,0,4,4
695,0,7,7
696,27,28,1
697,27,28,1
698,27,28,1
699,27,28,1
700,27,28,1
701,27,28,1
702,27,28,1
703,27,28,1
704,0,28,28
705,0,14,14
706,0,4,4
707,0,6,6
708,25,31,6
709,25,31,6
710,25,31,6
711,25,31,6
712,25,31,6
713,25,31,6
714,25,31,6
715,25,31,6
716,24,31,7
717,0,31,31
718,0,10,10
719,0,7,7
720,0,4,4
721,0,13,13
722,45,47,2
723,15,47,32
724,14,46,32
725,46,46,0
726,46,46,0
727,37,46,9
728,31,46,15
729,17,46,29
730,0,47,47
731,0,7,7
732,0,5,5
733,0,10,10
734,1,17,16
735,48,48,0
736,48,48,0
737,37,48,11
738,29,48,19
739,26,48,22
740,24,48,24
741,47,47,0
742,36,47,11
743,1,47,46
744,0,41,41
745,0,11,11
746,0,6,6
747,0,7,7
748,43,43,0
749,43,43,0
750,42,43,1
751,43,43,0
752,42,43,1
753,42,43,1
754,42,43,1
755,35,43,8
756,35,43,8
757,30,43,13
758,39,43,4
759,21,43,22
760,0,44,44
761,0,4,4
762,0,6,6
763,14,24,10
764,14,24,10
765,13,24,11
766,13,24,11
767,13,24,11
768,14,24,10
769,15,24,9
770,15,24,9
771,17,24,7
772,17,24,7
773,0,24,24
774,0,17,17
775,0,9,9
776,0,7,7
777,36,45,9
778,27,45,18
779,23,45,22
780,20,45,25
781,48,48,0
782,44,48,4
783,45,48,3
784,44,48,4
785,45,48,3
786,10,48,38
787,0,46,46
788,0,5,5
789,0,9,9
790,34,40,6
791,34,40,6
792,34,40,6
793,34,40,6
794,35,40,5
795,35,40,5
796,35,40,5
797,35,40,5
798,35,40,5
799,35,40,5
800,34,40,6
801,0,40,40
802,0,16,16
803,0,3,3
804,6,11,5
805,7,11,4
806,6,11,5
807,7,11,4
808,7,11,4
809,7,11,4
810,7,11,4
811,7,11,4
812,7,11,4
813,7,11,4
814,0,11,11
815,0,7,7
816,0,6,6
817,4,38,34
818,0,47,47
819,0,29,29
820,0,16,16
821,2,27,25
822,48,50,2
823,45,50,5
824,41,50,9
825,39,50,11
826,35,50,15
