frame,points,total,diff
589,32,34,2
590,32,34,2
591,32,34,2
592,32,34,2
593,32,34,2
594,32,34,2
595,33,34,1
596,0,34,34
597,0,15,15
598,0,7,7
599,0,4,4
600,1,8,7
601,41,44,3
602,41,44,3
603,41,44,3
604,41,44,3
605,41,44,3
606,41,44,3
607,41,44,3
608,41,44,3
609,43,44,1
610,0,44,44
611,0,27,27
612,0,6,6
613,0,7,7
614,36,36,0
615,36,36,0
616,36,36,0
617,35,36,1
618,34,36,2
619,35,36,1
620,34,36,2
621,34,36,2
622,34,36,2
623,36,36,0
624,0,36,36
625,0,9,9
626,0,3,3
627,0,6,6
628,14,25,11
629,14,25,11
630,16,25,9
631,14,25,11
632,14,25,11
633,15,25,10
634,15,25,10
635,16,25,9
636,18,25,7
637,18,25,7
638,0,25,25
639,0,15,15
640,0,6,6
641,0,3,3
642,7,14,7
643,45,45,0
644,45,45,0
645,45,45,0
646,45,45,0
647,45,45,0
648,45,45,0
649,43,45,2
650,43,45,2
651,43,45,2
652,0,45,45
653,0,11,11
654,0,3,3
655,0,6,6
656,16,23,7
657,15,23,8
658,15,23,8
659,15,23,8
660,15,23,8
661,15,23,8
662,15,23,8
663,15,23,8
664,16,23,7
665,18,23,5
666,0,23,23
667,0,8,8
668,0,4,4
669,0,7,7
670,41,41,0
671,41,41,0
672,39,41,2
673,40,41,1
674,39,41,2
675,39,41,2
676,39,41,2
677,40,41,1
678,41,41,0
679,3,41,38
680,0,28,28
681,0,7,7
682,0,5,5
683,2,9,7
684,51,51,0
685,51,51,0
686,51,51,0
687,51,51,0
688,51,51,0
689,51,51,0
690,51,51,0
691,45,51,6
692,0,51,51
693,0,8,8
694,0,4,4
695,0,7,7
696,27,28,1
697,27,28,1
698,27,28,1
699,27,28,1
700,27,28,1
701,27,28,1
702,27,28,1
703,27,28,1
704,0,28,28
705,0,14,14
706,0,4,4
707,0,6,6
708,25,31,6
709,25,31,6
710,25,31,6
711,25,31,6
712,25,31,6
713,25,31,6
714,25,31,6
715,25,31,6
716,25,31,6
717,0,31,31
718,0,10,10
719,0,7,7
720,0,4,4
721,1,13,12
722,47,47,0
723,34,47,13
724,2,47,45
725,46,46,0
726,46,46,0
727,46,46,0
728,46,46,0
729,34,46,12
730,0,46,46
731,0,7,7
732,0,5,5
733,0,10,10
734,1,17,16
735,48,48,0
736,48,48,0
737,43,48,5
738,38,48,10
739,34,48,14
740,33,48,15
741,34,48,14
742,37,48,11
743,0,48,48
744,0,41,41
745,0,11,11
746,0,6,6
747,0,7,7
748,43,43,0
749,43,43,0
750,43,43,0
751,43,43,0
752,43,43,0
753,43,43,0
754,43,43,0
755,43,43,0
756,43,43,0
757,41,43,2
758,43,43,0
759,31,43,12
760,0,43,43
761,0,4,4
762,0,6,6
763,15,24,9
764,16,24,8
765,16,24,8
766,16,24,8
767,16,24,8
768,17,24,7
769,17,24,7
770,17,24,7
771,17,24,7
772,17,24,7
773,0,24,24
774,0,17,17
775,0,9,9
776,0,7,7
777,40,45,5
778,35,45,10
779,33,45,12
780,32,45,13
781,30,45,15
782,26,45,19
783,26,45,19
784,26,45,19
785,25,45,20
786,18,45,27
787,0,46,46
788,0,5,5
789,0,9,9
790,35,40,5
791,35,40,5
792,35,40,5
793,36,40,4
794,36,40,4
795,36,40,4
796,36,40,4
797,36,40,4
798,36,40,4
799,36,40,4
800,36,40,4
801,0,40,40
802,0,16,16
803,0,3,3
804,7,11,4
805,7,11,4
806,7,11,4
807,7,11,4
808,7,11,4
809,7,11,4
810,7,11,4
811,7,11,4
812,7,11,4
813,7,11,4
814,0,11,11
815,0,7,7
816,0,6,6
817,4,38,34
818,0,47,47
819,0,29,29
820,0,16,16
821,2,27,25
822,50,50,0
823,48,50,2
824,48,50,2
825,45,50,5
826,40,50,10
827,40,50,10
828,39,50,11
829,0,50,50
830,0,27,27
831,0,8,8
832,0,9,9
833,0,14,14
834,3,17,14
835,48,48,0
836,48,48,0
837,43,48,5
838,43,48,5
839,39,48,9
840,40,48,8
841,33,48,15
842,26,48,22
843,6,48,42
844,0,43,43
845,0,10,10
846,0,16,16
847,51,51,0
848,51,51,0
849,51,51,0
850,51,51,0
851,51,51,0
852,51,51,0
853,51,51,0
854,51,51,0
855,50,51,1
856,34,51,17
857,0,51,51
858,0,7,7
859,0,3,3
860,25,29,4
861,25,29,4
862,23,29,6
863,24,29,5
864,24,29,5
865,25,29,4
866,25,29,4
867,23,29,6
868,25,29,4
869,25,29,4
870,25,29,4
871,25,29,4
872,24,29,5
873,0,29,29
874,0,9,9
875,0,5,5
876,0,14,14
877,45,46,1
878,45,46,1
879,46,46,0
880,43,46,3
881,43,46,3
882,43,46,3
883,41,46,5
884,43,46,3
885,41,46,5
886,43,46,3
887,42,46,4
888,40,46,6
889,41,46,5
890,40,46,6
891,40,46,6
892,40,46,6
893,1,46,45
894,0,42,42
895,0,8,8
896,0,3,3
897,0,4,4
898,42,42,0
899,41,42,1
900,41,42,1
901,42,42,0
902,42,42,0
903,42,42,0
904,42,42,0
905,21,42,21
906,0,42,42
907,0,10,10
908,0,5,5
909,0,3,3
910,5,12,7
911,50,50,0
912,50,50,0
913,50,50,0
914,50,50,0
915,50,50,0
916,50,50,0
917,49,50,1
918,48,50,2
919,45,50,5
920,47,50,3
921,48,50,2
922,0,50,50
923,0,9,9
924,0,3,3
925,12,17,5
926,12,17,5
927,12,17,5
928,12,17,5
929,12,17,5
930,11,17,6
931,11,17,6
932,12,17,5
933,10,17,7
934,10,17,7
935,11,17,6
936,1,17,16
937,0,20,20
938,0,4,4
939,0,6,6
940,29,36,7
941,29,36,7
942,30,36,6
943,30,36,6
944,29,36,7
945,28,36,8
946,27,36,9
947,25,36,11
948,22,36,14
949,18,36,18
950,0,55,55
951,0,30,30
952,0,7,7
953,0,3,3
954,41,41,0
955,41,41,0
956,41,41,0
957,41,41,0
958,40,41,1
959,40,41,1
960,40,41,1
961,40,41,1
962,39,41,2
963,1,41,40
964,0,28,28
965,0,6,6
966,0,6,6
