frame,points,total,diff
657,0,12,12
658,0,3,3
659,0,2,2
660,1,3,2
661,33,35,2
662,32,35,3
663,21,35,14
664,18,35,17
665,22,35,13
666,28,35,7
667,34,35,1
668,34,35,1
669,34,35,1
670,0,35,35
671,0,21,21
672,0,7,7
673,0,5,5
674,0,1,1
675,0,1,1
676,3,11,8
677,31,48,17
678,26,48,22
679,25,48,23
680,22,48,26
681,47,48,1
682,37,48,11
683,12,48,36
684,3,48,45
685,0,48,48
686,0,18,18
687,0,3,3
688,0,3,3
689,0,3,3
690,0,1,1
691,17,17,0
692,15,17,2
693,14,17,3
694,14,17,3
695,15,17,2
696,16,17,1
697,16,17,1
698,15,17,2
699,0,17,17
700,0,21,21
701,1,7,6
702,0,27,27
703,0,17,17
704,0,7,7
705,0,5,5
706,0,3,3
707,5,16,11
708,47,48,1
709,47,48,1
710,48,48,0
711,46,48,2
712,40,48,8
713,44,48,4
714,43,48,5
715,2,48,46
716,0,41,41
717,0,12,12
718,0,3,3
719,0,3,3
720,0,1,1
721,4,8,4
722,18,36,18
723,35,37,2
724,34,37,3
725,33,37,4
726,34,37,3
727,34,37,3
728,1,37,36
729,0,23,23
730,0,25,25
731,0,6,6
732,0,1,1
733,0,2,2
734,2,4,2
735,40,47,7
736,41,47,6
737,40,47,7
738,41,47,6
739,42,47,5
740,47,47,0
741,9,47,38
742,0,46,46
743,0,14,14
744,0,4,4
745,0,2,2
746,0,3,3
747,5,6,1
748,5,6,1
749,5,6,1
750,5,6,1
751,5,6,1
752,5,6,1
753,5,6,1
754,5,6,1
755,0,6,6
756,1,15,14
757,0,6,6
758,0,1,1
759,0,2,2
760,2,5,3
761,23,48,25
762,45,48,3
763,47,48,1
764,43,48,5
765,38,48,10
766,37,48,11
767,38,48,10
768,34,48,14
769,2,48,46
770,0,41,41
771,0,29,29
772,0,2,2
773,0,2,2
774,0,3,3
775,1,4,3
776,31,31,0
777,31,31,0
778,31,31,0
779,31,31,0
780,31,31,0
781,31,31,0
782,31,31,0
783,31,31,0
784,0,31,31
785,0,22,22
786,0,7,7
787,0,2,2
788,0,1,1
789,3,7,4
790,47,48,1
791,46,48,2
792,47,48,1
793,47,48,1
794,46,48,2
795,46,48,2
796,45,48,3
797,13,48,35
798,1,48,47
799,0,38,38
800,0,11,11
801,0,4,4
802,0,1,1
803,1,5,4
804,14,21,7
805,14,21,7
806,14,21,7
807,13,21,8
808,13,21,8
809,14,21,7
810,13,21,8
811,0,21,21
812,2,14,12
813,0,7,7
814,0,1,1
815,0,0,0
816,21,25,4
817,22,25,3
818,24,25,1
819,24,25,1
820,24,25,1
821,24,25,1
822,24,25,1
823,25,25,0
824,17,25,8
825,1,25,24
826,0,41,41
827,0,8,8
828,0,4,4
829,0,2,2
830,0,4,4
831,0,11,11
832,26,26,0
833,26,26,0
834,26,26,0
835,26,26,0
836,26,26,0
837,24,26,2
838,24,26,2
839,17,26,9
840,0,26,26
841,0,22,22
842,0,21,21
843,0,1,1
844,0,1,1
845,16,21,5
846,17,21,4
847,19,21,2
848,19,21,2
849,19,21,2
850,20,21,1
851,20,21,1
852,20,21,1
853,20,21,1
854,4,21,17
855,0,42,42
856,0,8,8
857,0,3,3
858,0,1,1
