frame,points,total,diff
657,0,12,12
658,0,3,3
659,0,2,2
660,1,3,2
661,35,35,0
662,34,35,1
663,23,35,12
664,23,35,12
665,25,35,10
666,31,35,4
667,35,35,0
668,35,35,0
669,35,35,0
670,1,35,34
671,0,21,21
672,0,7,7
673,0,5,5
674,0,1,1
675,0,1,1
676,5,11,6
677,46,48,2
678,44,48,4
679,42,48,6
680,35,48,13
681,35,48,13
682,47,48,1
683,48,48,0
684,27,48,21
685,0,48,48
686,0,18,18
687,0,3,3
688,0,3,3
689,0,3,3
690,0,1,1
691,17,17,0
692,16,17,1
693,16,17,1
694,16,17,1
695,16,17,1
696,17,17,0
697,17,17,0
698,17,17,0
699,1,17,16
700,0,21,21
701,1,7,6
702,0,27,27
703,0,17,17
704,0,7,7
705,0,5,5
706,0,3,3
707,6,16,10
708,48,48,0
709,48,48,0
710,48,48,0
711,48,48,0
712,48,48,0
713,48,48,0
714,48,48,0
715,7,48,41
716,0,41,41
717,0,12,12
718,0,3,3
719,0,3,3
720,0,1,1
721,4,8,4
722,27,36,9
723,34,36,2
724,34,36,2
725,35,36,1
726,35,36,1
727,35,36,1
728,1,36,35
729,0,23,23
730,0,25,25
731,0,6,6
732,0,1,1
733,0,2,2
734,2,4,2
735,46,47,1
736,47,47,0
737,44,47,3
738,45,47,2
739,46,47,1
740,47,47,0
741,19,47,28
742,0,46,46
743,0,14,14
744,0,4,4
745,0,2,2
746,0,3,3
747,5,6,1
748,5,6,1
749,5,6,1
750,5,6,1
751,5,6,1
752,5,6,1
753,5,6,1
754,5,6,1
755,1,6,5
756,1,15,14
757,0,6,6
758,0,1,1
759,0,2,2
760,2,5,3
761,36,48,12
762,29,48,19
763,30,48,18
764,24,48,24
765,48,48,0
766,48,48,0
767,48,48,0
768,40,48,8
769,2,48,46
770,0,41,41
771,0,29,29
772,0,2,2
773,0,2,2
774,0,3,3
775,1,4,3
776,31,31,0
777,31,31,0
778,31,31,0
779,31,31,0
780,31,31,0
781,31,31,0
782,31,31,0
783,31,31,0
784,0,31,31
785,1,22,21
786,0,7,7
787,0,2,2
788,0,1,1
789,3,7,4
790,48,48,0
791,48,48,0
792,48,48,0
793,48,48,0
794,48,48,0
795,48,48,0
796,48,48,0
797,29,48,19
798,1,48,47
799,0,38,38
800,0,11,11
801,0,4,4
802,0,1,1
803,1,5,4
804,14,21,7
805,14,21,7
806,14,21,7
807,14,21,7
808,13,21,8
809,14,21,7
810,14,21,7
811,0,21,21
812,2,14,12
813,0,7,7
814,0,1,1
815,0,0,0
816,23,25,2
817,24,25,1
818,25,25,0
819,25,25,0
820,25,25,0
821,25,25,0
822,25,25,0
823,25,25,0
824,18,25,7
825,2,25,23
826,0,41,41
827,0,8,8
828,0,4,4
829,0,2,2
830,0,4,4
831,0,11,11
832,26,26,0
833,26,26,0
834,26,26,0
835,26,26,0
836,26,26,0
837,26,26,0
838,26,26,0
839,19,26,7
840,1,26,25
841,0,22,22
842,0,21,21
843,0,1,1
844,0,1,1
845,18,21,3
846,18,21,3
847,20,21,1
848,20,21,1
849,20,21,1
850,20,21,1
851,20,21,1
852,20,21,1
853,21,21,0
854,7,21,14
855,0,42,42
856,0,8,8
857,0,3,3
858,0,1,1
