frame,points,total,diff
769,11,13,2
770,11,13,2
771,11,13,2
772,11,13,2
773,11,13,2
774,11,13,2
775,11,13,2
776,11,13,2
777,0,13,13
778,0,21,21
779,6,27,21
780,40,41,1
781,40,41,1
782,40,41,1
783,40,41,1
784,40,41,1
785,40,41,1
786,40,41,1
787,40,41,1
788,0,41,41
789,0,14,14
790,0,8,8
791,11,20,9
792,10,20,10
793,48,48,0
794,48,48,0
795,48,48,0
796,48,48,0
797,48,48,0
798,48,48,0
799,31,48,17
800,0,48,48
801,0,12,12
802,2,19,17
803,41,43,2
804,41,43,2
805,41,43,2
806,41,43,2
807,41,43,2
808,41,43,2
809,41,43,2
810,41,43,2
811,0,43,43
812,0,16,16
813,0,26,26
814,43,43,0
815,40,43,3
816,41,43,2
817,40,43,3
818,40,43,3
819,41,43,2
820,41,43,2
821,41,43,2
822,0,43,43
823,0,25,25
824,0,7,7
825,9,20,11
826,46,47,1
827,46,47,1
828,46,47,1
829,46,47,1
830,46,47,1
831,46,47,1
832,46,47,1
833,0,47,47
834,0,10,10
835,0,16,16
836,0,9,9
837,33,34,1
838,33,34,1
839,33,34,1
840,31,34,3
841,33,34,1
842,33,34,1
843,33,34,1
844,33,34,1
845,1,34,33
846,0,15,15
847,1,5,4
848,1,16,15
849,47,47,0
850,45,47,2
851,22,47,25
852,47,50,3
853,42,50,8
854,50,50,0
855,50,50,0
856,49,50,1
857,0,50,50
858,0,21,21
859,0,8,8
860,3,10,7
861,42,44,2
862,44,44,0
863,43,44,1
864,43,44,1
865,44,44,0
866,44,44,0
867,44,44,0
868,44,44,0
869,44,44,0
870,0,44,44
871,0,6,6
872,0,16,16
873,1,22,21
874,49,50,1
875,47,50,3
876,49,50,1
877,49,50,1
878,48,50,2
879,48,50,2
880,49,50,1
881,49,50,1
882,49,50,1
883,1,50,49
884,0,13,13
885,0,8,8
886,4,10,6
887,44,44,0
888,44,44,0
889,43,44,1
890,44,44,0
891,44,44,0
892,44,44,0
893,44,44,0
894,44,44,0
895,44,44,0
896,0,44,44
897,0,10,10
898,0,21,21
899,5,29,24
900,51,51,0
901,51,51,0
902,51,51,0
903,51,51,0
904,51,51,0
905,51,51,0
906,51,51,0
907,0,51,51
908,0,18,18
909,0,7,7
910,3,7,4
911,27,27,0
912,27,27,0
913,26,27,1
914,25,27,2
915,25,27,2
916,25,27,2
917,25,27,2
918,26,27,1
919,25,27,2
920,0,27,27
921,0,9,9
922,0,18,18
923,0,11,11
924,30,32,2
925,29,32,3
926,29,32,3
927,30,32,2
928,29,32,3
929,29,32,3
930,29,32,3
931,29,32,3
932,2,32,30
933,0,18,18
934,0,5,5
935,2,11,9
936,40,40,0
937,40,40,0
938,40,40,0
939,40,40,0
940,39,40,1
941,39,40,1
942,40,40,0
943,40,40,0
944,40,40,0
945,37,40,3
946,0,40,40
947,7,12,5
948,7,12,5
949,8,12,4
950,7,12,5
951,8,12,4
952,8,12,4
953,8,12,4
954,7,12,5
955,7,12,5
956,7,12,5
957,7,12,5
958,0,12,12
959,0,19,19
960,0,37,37
961,48,48,0
962,45,48,3
963,46,48,2
964,46,48,2
965,45,48,3
966,47,48,1
967,47,48,1
968,47,48,1
969,1,48,47
970,0,22,22
971,0,5,5
972,0,7,7
973,13,24,11
974,12,24,12
975,49,49,0
976,49,49,0
977,49,49,0
978,48,49,1
979,48,49,1
980,49,49,0
981,0,49,49
982,0,11,11
983,0,18,18
984,2,22,20
985,43,44,1
986,42,44,2
987,42,44,2
988,42,44,2
989,42,44,2
990,42,44,2
991,42,44,2
992,42,44,2
993,0,44,44
994,0,9,9
995,0,17,17
996,15,17,2
997,13,17,4
998,13,17,4
999,13,17,4
1000,13,17,4
1001,13,17,4
1002,15,17,2
1003,13,17,4
1004,13,17,4
1005,15,17,2
1006,12,17,5
1007,0,17,17
1008,0,10,10
1009,0,10,10
1010,4,10,6
1011,47,48,1
1012,47,48,1
1013,47,48,1
1014,46,48,2
1015,47,48,1
1016,47,48,1
1017,47,48,1
1018,47,48,1
1019,47,48,1
1020,47,48,1
1021,9,48,39
1022,45,45,0
1023,44,45,1
1024,44,45,1
1025,44,45,1
1026,44,45,1
1027,44,45,1
1028,44,45,1
1029,44,45,1
1030,44,45,1
1031,44,45,1
1032,44,45,1
1033,32,45,13
1034,0,45,45
1035,3,6,3
1036,6,12,6
1037,48,48,0
1038,48,48,0
1039,48,48,0
1040,48,48,0
1041,48,48,0
1042,48,48,0
1043,48,48,0
1044,48,48,0
1045,48,48,0
1046,0,48,48
1047,0,12,12
1048,0,17,17
1049,2,21,19
1050,45,46,1
1051,45,46,1
1052,45,46,1
1053,44,46,2
1054,45,46,1
1055,45,46,1
1056,44,46,2
1057,44,46,2
1058,45,46,1
1059,7,46,39
1060,1,26,25
1061,0,11,11
1062,1,14,13
1063,35,41,6
1064,34,41,7
1065,31,41,10
1066,32,41,9
1067,30,41,11
1068,35,41,6
1069,36,41,5
1070,34,41,7
1071,36,41,5
1072,0,41,41
1073,0,5,5
1074,0,1,1
1075,0,8,8
1076,0,14,14
1077,44,48,4
1078,47,48,1
1079,47,48,1
1080,47,48,1
1081,47,48,1
1082,47,48,1
1083,47,48,1
1084,0,48,48
1085,0,7,7
1086,0,3,3
1087,0,8,8
1088,0,14,14
1089,47,47,0
1090,46,47,1
1091,46,47,1
1092,46,47,1
1093,45,47,2
1094,45,47,2
1095,45,47,2
1096,11,47,36
1097,0,30,30
1098,0,5,5
1099,0,9,9
1100,1,33,32
1101,50,50,0
1102,50,50,0
1103,47,50,3
1104,48,50,2
1105,47,50,3
1106,47,50,3
1107,48,50,2
1108,48,50,2
1109,0,50,50
1110,0,9,9
1111,0,15,15
1112,1,15,14
1113,45,45,0
1114,45,45,0
1115,45,45,0
1116,44,45,1
1117,45,45,0
1118,44,45,1
1119,44,45,1
1120,0,45,45
1121,0,5,5
1122,10,17,7
1123,11,17,6
1124,10,17,7
1125,11,17,6
1126,11,17,6
1127,11,17,6
1128,11,17,6
1129,11,17,6
1130,10,17,7
1131,1,17,16
1132,0,12,12
1133,0,6,6
1134,1,3,2
1135,19,20,1
1136,19,20,1
1137,19,20,1
1138,19,20,1
1139,19,20,1
1140,19,20,1
1141,19,20,1
1142,18,20,2
1143,19,20,1
1144,0,20,20
1145,0,23,23
1146,1,39,38
1147,50,50,0
1148,50,50,0
1149,50,50,0
1150,50,50,0
1151,50,50,0
1152,50,50,0
1153,50,50,0
1154,50,50,0
1155,50,50,0
1156,0,50,50
1157,0,27,27
1158,11,41,30
1159,49,50,1
1160,49,50,1
1161,49,50,1
1162,49,50,1
1163,49,50,1
1164,49,50,1
1165,49,50,1
1166,49,50,1
1167,49,50,1
1168,49,50,1
1169,0,50,50
1170,0,19,19
1171,2,10,8
1172,2,14,12
1173,48,50,2
1174,24,50,26
1175,50,50,0
1176,48,50,2
1177,49,50,1
1178,50,50,0
1179,49,50,1
1180,49,50,1
1181,0,50,50
1182,0,8,8
1183,0,7,7
1184,0,9,9
1185,33,34,1
1186,31,34,3
1187,31,34,3
1188,31,34,3
1189,31,34,3
1190,31,34,3
1191,31,34,3
1192,31,34,3
1193,31,34,3
1194,0,34,34
1195,0,26,26
1196,7,13,6
1197,1,13,12
1198,47,49,2
1199,48,49,1
1200,48,49,1
1201,48,49,1
1202,48,49,1
1203,48,49,1
1204,48,49,1
1205,5,49,44
