frame,points,total,diff
595,24,45,21
596,12,45,33
597,43,45,2
598,44,45,1
599,45,45,0
600,45,45,0
601,45,45,0
602,45,45,0
603,45,45,0
604,0,45,45
605,0,14,14
606,0,7,7
607,0,16,16
608,41,43,2
609,41,43,2
610,39,43,4
611,41,43,2
612,41,43,2
613,43,43,0
614,42,43,1
615,41,43,2
616,41,43,2
617,7,43,36
618,0,34,34
619,1,7,6
620,1,17,16
621,41,45,4
622,42,45,3
623,44,45,1
624,42,45,3
625,42,45,3
626,42,45,3
627,42,45,3
628,43,45,2
629,0,45,45
630,0,5,5
631,0,7,7
632,0,11,11
633,43,45,2
634,37,45,8
635,40,45,5
636,42,45,3
637,42,45,3
638,40,45,5
639,42,45,3
640,42,45,3
641,44,45,1
642,1,45,44
643,0,19,19
644,5,32,27
645,38,49,11
646,42,49,7
647,48,49,1
648,47,49,2
649,43,49,6
650,45,49,4
651,46,49,3
652,44,49,5
653,0,49,49
654,0,23,23
655,0,16,16
656,0,16,16
657,3,36,33
658,34,49,15
659,32,49,17
660,49,49,0
661,48,49,1
662,44,49,5
663,47,49,2
664,48,49,1
665,20,49,29
666,0,45,45
667,0,20,20
668,2,32,30
669,41,47,6
670,45,47,2
671,32,47,15
672,31,47,16
673,34,47,13
674,34,47,13
675,24,47,23
676,27,47,20
677,0,47,47
678,0,12,12
679,0,17,17
680,11,30,19
681,45,47,2
682,46,47,1
683,46,47,1
684,46,47,1
685,45,47,2
686,47,47,0
687,46,47,1
688,46,47,1
689,0,47,47
690,0,9,9
691,0,6,6
692,11,14,3
693,12,14,2
694,12,14,2
695,12,14,2
696,11,14,3
697,11,14,3
698,12,14,2
699,12,14,2
700,11,14,3
701,0,14,14
702,0,12,12
703,2,21,19
704,29,47,18
705,46,47,1
706,46,47,1
707,41,47,6
708,44,47,3
709,45,47,2
710,46,47,1
711,43,47,4
712,46,47,1
713,0,47,47
714,0,11,11
715,0,18,18
716,0,21,21
717,25,29,4
718,25,29,4
719,24,29,5
720,23,29,6
721,24,29,5
722,24,29,5
723,23,29,6
724,23,29,6
725,24,29,5
726,23,29,6
727,0,29,29
728,0,16,16
729,0,23,23
730,0,33,33
731,32,39,7
732,22,39,17
733,29,39,10
734,36,39,3
735,34,39,5
736,35,39,4
737,38,39,1
738,38,39,1
739,38,39,1
740,0,39,39
741,0,22,22
742,10,14,4
743,2,14,12
744,36,46,10
745,35,46,11
746,43,46,3
747,45,46,1
748,44,46,2
749,37,46,9
750,46,46,0
751,44,46,2
752,45,46,1
753,0,46,46
754,0,20,20
755,0,16,16
756,0,8,8
757,30,35,5
758,26,35,9
759,21,35,14
760,21,35,14
761,12,35,23
762,41,41,0
763,41,41,0
764,41,41,0
765,1,41,40
766,0,30,30
767,9,13,4
768,10,13,3
769,11,13,2
770,11,13,2
771,11,13,2
772,11,13,2
773,11,13,2
774,11,13,2
775,11,13,2
776,11,13,2
